Company_symbol,Sector,Enterprise_Value_over_EBITDA,Revenue_Growth,Profit_Margin,grossProfitMargin,returnOnEquity,fixedAssetTurnover,assetTurnover,Debt_to_Equity,Capex_to_Revenue,R&D_to_Revenue,Dividend_Yield,currentRatio
APA,Energy,4.8659,0.2482,0.005,0.331790964,0.0056,0.398892568,0.340468909,1.1562,0.5125,0.0,0.0381,1.221
HOME,Consumer Cyclical,17.7139,0.2415,0.033,0.322934201,0.0538,2.038609111,0.691674895,0.804,0.1791,0.0,0.0,0.876
DISCA,Consumer Cyclical,9.392,0.5354,0.056,0.62712025,0.0708,13.19125,0.324208909,2.0025,0.0139,0.0,0.0,1.059
LPI,Energy,2.9781,0.345,0.294,0.598475278,0.2764,0.502708404,0.456874237,0.8377,0.6202,0.0,0.0,0.962
ABT,Healthcare,20.3274,0.1164,0.077,0.584472497,0.0771,4.043104588,0.45521266,0.6369,0.0456,0.0752,0.0155,1.624
PTEN,Energy,5.2031,0.4117,-0.097,0.301056478,-0.0917,0.831219555,0.608241043,0.3193,0.1786,0.0,0.0135,1.805
EBAY,Consumer Cyclical,9.1752,0.0825,0.235,0.778336125,0.4028,6.728866625,0.470923353,1.4697,0.0606,0.1196,0.0,1.6
WBA,Healthcare,9.7112,0.1127,0.038,0.234093829,0.1932,9.455610668,1.930846691,0.5536,0.0104,0.0,0.0239,0.824
MDT,Healthcare,13.1632,0.0082,0.104,0.697292425,0.0612,6.505864466,0.327738448,0.5078,0.0357,0.0753,0.0226,2.279
DNR,Energy,4.9208,0.3043,0.219,0.631834422,0.2826,0.341226691,0.31199571,2.4255,0.2296,0.0,0.0,0.812
EOG,Energy,6.9559,0.5413,0.198,0.555716484,0.1766,0.615318955,0.50908109,0.3142,0.3517,0.0086,0.0087,1.356
HPE,Technology,9.023,0.0686,0.062,0.310190587,0.0898,5.026392962,0.555962013,0.5716,0.0604,0.0539,0.0246,1.004
TXN,Technology,11.7973,0.055,0.354,0.651102382,0.6204,4.958843858,0.921048025,0.5635,0.0717,0.0988,0.0278,3.273
CVS,Healthcare,19.8072,0.053,-0.003,0.162083267,-0.0102,17.1450348,0.990445698,1.2611,0.0105,0.0,0.0305,1.028
HES,Energy,6.8421,0.1994,-0.051,0.524280854,-0.0293,0.402039421,0.301684319,0.6929,0.3243,0.056,0.0247,2.024
OXY,Energy,5.3767,0.4264,0.218,0.419879582,0.1937,0.602283933,0.43175081,0.4837,0.2599,0.0058,0.0505,1.34
AA,Basic Materials,3.1228,0.1503,0.017,0.247854958,0.0404,1.609583283,0.830833127,0.3208,0.0298,0.0023,0.0,1.483
ECA,Energy,3.1031,0.3367,0.18,0.531234215,0.1435,0.661948284,0.38705683,0.5637,0.3325,0.0,0.0104,1.327
GES,Consumer Cyclical,6.9167,0.0791,-0.003,0.35064901,-0.0086,8.033039483,1.427703224,0.0459,0.0358,0.0,0.0597,2.37
AMZN,Technology,25.9138,0.3093,0.043,0.402474161,0.2313,3.768580999,1.431846687,0.7611,0.0486,0.1238,0.0,1.098
NFLX,Communication Services,13.2519,0.3508,0.077,0.368917133,0.2312,37.76012059,0.608073372,1.9776,0.0135,0.0774,0.0,1.494
ENTG,Technology,10.582,0.1549,0.155,0.464258235,0.2379,3.695804104,0.668997916,0.9277,0.071,0.0764,0.01,3.817
CSX,Industrials,10.5371,0.0738,0.27,0.389632653,0.263,0.382836427,0.333523918,1.1731,0.1164,0.0,0.0142,1.339
CNC,Healthcare,10.9853,0.2425,0.015,0.14007918,0.0824,35.23798359,1.945438659,0.6124,0.0112,0.0,0.0,1.002
RES,Energy,5.157,0.0788,0.102,0.312583055,0.1846,3.322518929,1.434672969,0.0,0.141,0.0,0.0476,4.321
SYNH,Healthcare,14.5863,0.643,0.006,0.21771771,0.0085,23.9261633,0.60512351,0.99,0.0124,0.0,0.0,0.993
HBI,Consumer Cyclical,8.2884,0.0514,0.081,0.390437473,0.57,11.19646101,0.937705951,4.1025,0.0127,0.0,0.0479,1.733
PAYX,Industrials,15.993,0.0713,0.294,0.698552269,0.4218,8.583735705,0.426725118,0.0,0.0456,0.0,0.0314,1.113
CHS,Consumer Cyclical,4.3316,-0.0784,0.044,0.378892813,0.1539,5.420838499,2.098536693,0.1045,0.0213,0.0,0.0354,1.927
MMM,Industrials,14.4369,0.035,0.163,0.490859148,0.546,3.749713893,0.897671233,1.4927,0.0401,0.0556,0.0286,1.892
JBL,Technology,4.8189,0.1591,0.004,0.07724643,0.0443,6.909101143,1.834308029,1.2915,0.0311,0.0017,0.0108,1.044
ACN,Technology,16.5203,0.1331,0.099,0.304771693,0.3917,32.43028908,1.676649141,0.0024,0.0151,0.0,0.0157,1.338
LVS,Consumer Cyclical,11.072,0.0786,0.176,0.492024182,0.4245,0.839591487,0.608905841,2.1086,0.0677,0.0,0.0576,1.763
PAA,Energy,7.0423,0.2987,0.059,0.088063427,0.1846,2.303036451,1.334914351,0.7673,0.048,0.0,0.0599,1.022
VLO,Energy,5.8008,0.2453,0.027,0.047798484,0.1441,4.056884359,2.333426378,0.4204,0.0177,0.0,0.0427,1.648
IMAX,Consumer Cyclical,11.5773,-0.0167,0.061,0.555364435,0.0446,1.334011502,0.428572573,0.0737,0.1519,0.0367,0.0,2.231638418
AR,Energy,11.1432,0.1324,-0.096,0.613012142,-0.0519,0.298460805,0.266737691,0.7129,0.534,0.0012,0.0,0.945
ARNC,Industrials,6.6962,0.0813,0.046,0.18674183,0.1152,2.45687237,0.749692398,1.1358,0.0548,0.0073,0.0142,1.87
DHI,Consumer Cyclical,8.3085,0.1403,0.091,0.228398058,0.1625,40.05983545,1.138395704,0.3566,0.0086,0.0,0.0118,4.172080166
BTU,Basic Materials,4.5525,0.0005,0.098,0.270378731,0.0013,1.071980027,0.75188922,0.4026,0.054,0.0,0.0159,1.848
JBGS,Real Estate,18.0542,0.1863,0.062,0.659824397,0.0134,0.135878751,0.107412271,0.7149,0.5991,0.0,0.0287,3.484143036
IPG,Consumer Cyclical,9.6064,0.0737,0.064,0.14187186,0.2586,12.28271589,0.62190867,1.5603,0.0182,0.0,0.0407,1.007
DE,Industrials,11.1184,0.2562,0.063,0.315503899,0.2098,2.866393002,0.532859303,3.7434,0.0393,0.0444,0.0198,0.837762856
COG,Energy,9.0872,0.2403,0.255,0.646634049,0.2668,0.631754305,0.521132916,0.5872,0.4088,0.052,0.0112,1.896
IBM,Technology,8.2715,0.0057,0.11,0.464072571,0.5196,7.375,0.645077888,2.7276,0.0467,0.0676,0.0546,1.286
NYT,Consumer Cyclical,13.2785,0.0002,0.072,0.591766724,0.1208,2.737089202,0.845335911,0.2437,0.0443,0.0,0.0072,1.328
OLN,Basic Materials,4.9977,0.1081,0.047,0.161817423,0.1158,1.994801987,0.772011915,1.1406,0.055,0.0,0.0398,1.527
JCI,Basic Materials,10.291,0.0247,0.092,0.327649573,0.1022,7.090909091,0.479537676,0.5164,0.0255,0.0,0.0296,1.051
VST,Utilities,11.0956,0.684,-0.006,0.449256343,-0.0069,0.625787024,0.351367968,1.4503,0.058,0.0,0.0,0.948
EPD,Energy,11.134,0.2494,0.114,0.140605241,0.1749,0.943119863,0.641290649,1.0975,0.1156,0.0,0.0697,0.846
CAT,Industrials,9.4127,0.2037,0.112,0.310715983,0.4366,4.031383527,0.697015629,2.5961,0.0362,0.0338,0.0258,1.368
MYL,Healthcare,9.3551,-0.0398,0.031,0.349976823,0.029,5.268592756,0.349287763,1.1394,0.022,0.0616,0.0,1.388
CMC,Basic Materials,8.9774,0.208,0.03,0.133979783,0.0927,4.319589633,1.395222011,0.7757,0.0359,0.0,0.0222,3.833
JCP,Consumer Cyclical,7.4006,-0.0035,-0.009,0.36238639,-0.0853,3.007007708,1.522711143,3.06,0.0307,0.0,0.0,1.457
TGT,Consumer Defensive,7.265,0.0348,0.04,0.296902935,0.2501,2.963563743,1.804183311,1.1434,0.0344,0.0,0.0345,0.961
GLW,Technology,9.3147,0.1161,0.094,0.395128432,0.0773,0.757972474,0.410470823,0.4349,0.2046,0.088,0.0238,2.124
DOV,Industrials,11.7616,0.0251,0.082,0.366063044,0.206,8.669738387,0.835800789,1.1428,0.0236,0.0,0.0268,1.37
HRL,Consumer Defensive,16.7392,0.0413,0.106,0.209039987,0.1807,6.310789369,1.172360313,0.1116,0.0398,0.0,0.0176,1.8
S,Communication Services,4.5597,-0.0282,0.228,0.469388385,0.2804,1.626398996,0.379199382,1.5515,0.3362,0.0,0.0,1.32
STX,Technology,8.5153,0.0383,0.106,0.300786838,0.7099,6.241071429,1.188522848,2.8943,0.0327,0.0917,0.0446,1.351
ADBE,Technology,38.1977,0.2367,0.287,0.867663572,0.2767,8.399444874,0.48112105,0.4406,0.0295,0.1703,0.0,1.129
RTN,Industrials,11.6519,0.0675,0.108,0.276627984,0.2536,7.423319616,0.82822161,0.497,0.0303,0.0,0.0278,1.434
M,Consumer Cyclical,4.0776,-0.0374,0.063,0.39127471,0.2726,3.737859712,1.273502528,1.024,0.014,0.0,0.0643,1.476
CY,Technology,13.4254,0.067,0.143,0.375006039,0.1676,8.777253998,0.672541404,0.4165,0.0254,0.1465,0.0346,1.638
NBL,Energy,6.5286,0.1715,-0.013,0.759927798,-0.007,0.270698735,0.237315564,0.6974,0.6576,0.0259,0.0229,1.014
BAH,Industrials,12.1765,0.0616,0.049,0.233481419,0.5363,40.47937833,1.710078054,3.2331,0.0127,0.0,0.0185,1.45
TPR,Consumer Cyclical,14.7102,0.3101,0.068,0.654506803,0.1225,6.641066185,0.880463591,0.4933,0.0455,0.0,0.0292,2.593
UTX,Industrials,10.969,0.1114,0.079,0.248357168,0.137,5.407904367,0.495495898,1.1844,0.0286,0.037,0.0266,1.132
LKQ,Consumer Cyclical,10.3687,0.2198,0.04,0.385196815,0.1004,9.733686183,1.04241683,0.9013,0.0187,0.0,0.0,2.675
CLR,Energy,5.97,0.5091,0.21,0.796842228,0.1608,0.339556879,0.307857388,0.9387,0.6189,0.0016,0.0,1.018
HL,Basic Materials,11.117,-0.0184,-0.048,0.13947071,-0.0157,0.225054008,0.209744359,0.3229,0.2372,0.0811,0.0038,1.205
LULU,Consumer Cyclical,15.9308,0.13,0.098,0.528008468,0.162,5.593213862,1.325595965,0.0,0.0596,0.0,0.0,4.909
CAG,Consumer Defensive,13.1477,0.0142,0.102,0.296222113,0.2199,4.994212016,0.764069493,1.038,0.0307,0.0,0.0228,0.83
STLD,Basic Materials,3.9762,0.2393,0.106,0.196484997,0.3198,4.013161598,1.534593668,0.604,0.0202,0.0,0.025,3.957
CCI,Real Estate,21.4473,0.2449,0.103,0.659413609,0.0558,0.396534074,0.165411011,1.3862,0.321,0.0,0.0394,0.867
ZAYO,Technology,12.4717,0.1721,0.04,0.63807877,0.0686,0.479493699,0.282576358,3.885,0.3035,0.0,0.0,1.034
ADT,Industrials,7.2323,0.0617,-0.133,0.772717084,-0.1442,1.416603644,0.266243092,2.3675,0.1535,0.0,0.0233,0.843
