row_id,Revenue_Growth,Profit_Margin,grossProfitMargin,returnOnEquity,assetTurnover,Debt_to_Equity,Debt_to_Equity_squared,Capex_to_Revenue,R_and_D_to_Revenue,Dividend_Yield,currentRatio,currentRatio_squared,returnOnEquityXpositiveROE,Sector_Communication_Services,Sector_Consumer_Cyclical,Sector_Consumer_Defensive,Sector_Energy,Sector_Financial_Services,Sector_Healthcare,Sector_Industrials,Sector_Real_Estate,Sector_Technology,Sector_Utilities,Enterprise_Value_over_EBITDA,split,Sector_label
399,0.104,0.13,0.436614521,0.1882,0.841858008,0.3239,0.10491121,0.0454,0.0697,0.0,3.322,11.035684,0.1882,False,False,False,False,False,False,False,False,True,False,8.6028,train,Technology
865,0.0275,-0.027,0.524828639,-0.0324,0.88002882,0.0532,0.00283024,0.0102,0.0,0.017,4.802,23.059204,-0.0,False,True,False,False,False,False,False,False,False,False,8.9681,train,Consumer_Cyclical
53,0.055,0.354,0.651102382,0.6204,0.921048025,0.5635,0.31753225,0.0717,0.0988,0.0278,3.273,10.712529000000002,0.6204,False,False,False,False,False,False,False,False,True,False,11.7973,train,Technology
119,0.0914,0.191,0.341946068,0.8226,0.530544525,3.6274,13.15803076,0.0737,0.0,0.003,1.306,1.7056360000000002,0.8226,False,False,False,False,False,False,False,False,False,False,9.4501,train,Basic_Materials
493,0.1418,0.118,0.987299428,0.1345,0.194432898,0.4507,0.20313049,0.0184,0.0,0.0119,3.941727483,15.537215550237518,0.1345,False,False,False,False,True,False,False,False,False,False,5.2017,train,Financial_Services
1104,0.1251,-0.007,0.108743225,-0.0398,2.154782088,0.577,0.332929,0.0067,0.0,0.0,1.125,1.265625,-0.0,False,False,False,False,False,False,True,False,False,False,8.1372,train,Industrials
1070,0.0029,0.325,1.0,0.2422,0.447084126,0.0,0.0,0.0054,0.0,0.0535,2.375393682,5.642495144485516,0.2422,False,False,False,False,True,False,False,False,False,False,6.5527,train,Financial_Services
187,0.1801,0.026,0.132477662,0.0814,1.578824094,0.3069,0.09418761,0.0247,0.0,0.0013,1.842,3.392964,0.0814,False,False,False,False,False,False,True,False,False,False,7.3437,train,Industrials
403,0.0486,0.014,0.281401134,0.043,0.596792287,2.7278,7.440892839999999,0.0866,0.0,0.0,1.722,2.965284,0.043,False,False,False,False,False,True,False,False,False,False,12.1812,train,Healthcare
33,-0.1004,0.202,0.630524862,0.3789,0.382810998,2.6037,6.779253689999999,0.0346,0.0,0.0329,0.866,0.749956,0.3789,False,False,True,False,False,False,False,False,False,False,22.823,train,Consumer_Defensive
825,0.0582,0.03,0.413294835,0.0438,0.910777555,0.2857,0.08162449,0.0092,0.0,0.0,1.862,3.4670440000000005,0.0438,False,False,True,False,False,False,False,False,False,False,22.7295,train,Consumer_Defensive
600,0.0478,0.12,0.684302456,0.0215,0.06623581,1.0624,1.12869376,0.676,0.0,0.0459,2.630279753,6.91837157904174,0.0215,False,False,False,False,False,False,False,True,False,False,15.7044,train,Real_Estate
792,0.0598,0.16,0.534263556,0.0909,0.408017689,0.1093,0.0119464899999999,0.0548,0.087,0.0,4.489,20.151121,0.0909,False,False,False,False,False,True,False,False,False,False,12.2002,train,Healthcare
800,0.0041,0.034,0.238754305,0.089,1.089662226,0.7108,0.50523664,0.0261,0.0,0.0135,3.278,10.745284,0.089,False,False,False,False,False,False,True,False,False,False,10.9272,train,Industrials
460,-0.0707,0.026,0.606845349,0.0471,1.00634838,0.1724,0.02972176,0.0261,0.0,0.0185,2.236,4.999696000000001,0.0471,False,True,False,False,False,False,False,False,False,False,9.1886,train,Consumer_Cyclical
147,0.0675,0.066,0.307671985,0.2512,1.87514052,0.4907,0.24078649,0.0275,0.0,0.0105,1.433,2.0534890000000003,0.2512,False,False,True,False,False,False,False,False,False,False,12.3489,train,Consumer_Defensive
285,0.0037,0.014,0.474121996,0.0606,0.916949153,1.099,1.207801,0.0739,0.1465,0.0,1.415,2.002225,0.0606,False,False,False,False,False,False,False,False,True,False,24.3752,train,Technology
179,0.1685,0.092,0.185533114,0.2851,0.797062192,1.0584,1.12021056,0.0191,0.0,0.0231,1.234,1.522756,0.2851,False,False,False,False,False,False,True,False,False,False,11.1754,train,Industrials
558,0.0456,0.009,0.085952078,0.0202,1.350925343,0.1361,0.01852321,0.0259,0.0,0.0283,2.613,6.827769,0.0202,False,False,False,False,False,False,False,False,True,False,5.2757,train,Technology
320,0.0738,0.005,0.302143048,0.0171,0.805197951,2.6184,6.856018559999999,0.0441,0.0119,0.0,1.986,3.944196,0.0171,False,False,False,False,False,False,True,False,False,False,19.0705,train,Industrials
602,0.1067,0.042,0.142542022,0.1905,1.831170699,0.9058,0.8204736400000001,0.0153,0.0,0.0171,3.018,9.108324,0.1905,False,False,False,False,False,False,True,False,False,False,8.849,train,Industrials
155,0.2143,0.354,1.0,0.1603,0.04419796,0.2147,0.04609609,0.039,0.0,0.0032,1.428287393,2.0400048770027364,0.1603,False,False,False,False,True,False,False,False,False,False,4.8339,train,Financial_Services
552,0.0732,0.025,0.352093738,0.0386,0.461749967,1.6394,2.68763236,0.0441,0.0,0.0,1.096,1.2012160000000005,0.0386,False,False,False,False,False,True,False,False,False,False,17.9236,train,Healthcare
480,0.0201,0.05,0.455689257,0.0606,0.730537872,0.3372,0.11370384,0.0797,0.0434,0.0,1.355,1.836025,0.0606,False,False,False,False,False,True,False,False,False,False,25.6205,train,Healthcare
557,-0.0038,0.026,0.266324478,0.1112,2.2417549,0.1353,0.01830609,0.0068,0.0,0.0,1.906,3.632836,0.1112,False,False,False,False,False,False,True,False,False,False,5.7435,train,Industrials
202,0.1504,0.085,0.346357227,0.1676,0.809318473,0.8303,0.6893980900000001,0.0662,0.0,0.0225,1.744,3.041536,0.1676,False,False,False,False,False,False,True,False,False,False,8.1755,train,Industrials
11,0.1876,0.072,0.349320497,0.1087,0.838288137,0.1971,0.03884841,0.0674,0.0051,0.0474,0.84,0.7055999999999999,0.1087,False,False,False,True,False,False,False,False,False,False,6.4843,train,Energy
1026,0.1622,0.037,0.50362892,0.0978,0.654263016,1.6381,2.68337161,0.1755,0.0,0.0,0.942,0.8873639999999999,0.0978,False,True,False,False,False,False,False,False,False,False,15.7144,train,Consumer_Cyclical
