Variable,Mean,Median,Min,Max,Variance
Revenue_Growth,0.130775,0.10435,-0.0697,0.6424,0.016156470595238094
returnOnEquity,0.1440824324324324,0.12990000000000002,-0.1476,0.7115,0.013465828396764114
Profit_Margin,0.1227027027027027,0.104,-0.085,0.588,0.008885802169516458
Debt_to_Equity,0.3785459459459459,0.2796,0.0,2.467,0.17960572454127613
R_and_D_to_Revenue,0.10675,0.0958,0.0417,0.1912,0.0015075768027210882
Capex_to_Revenue,0.04931418918918919,0.03745,-0.011,0.2372,0.001765606531991175
