Variable,Mean,Median,Min,Max,Variance
Revenue_Growth,0.11781428571428572,0.0949,-0.1004,0.6929,0.010228625714285712
returnOnEquity,0.34264,0.3175,-0.0846,0.8226,0.02676644206896551
Profit_Margin,0.13426285714285713,0.103,-0.033,0.5,0.010462332807881782
Debt_to_Equity,1.9860234285714282,1.9133,0.0,4.4389,1.2504339788157637
R_and_D_to_Revenue,0.007229142857142857,0.0,0.0,0.0988,0.0003521444906403932
Capex_to_Revenue,0.05161257142857144,0.0368,-0.0783,0.3035,0.0027593166226600983
