Variable,Mean,Median,Min,Max,Variance
Revenue_Growth,0.14092637362637364,0.0853,-0.132,0.7259,0.028958150630036615
returnOnEquity,0.1006142857142857,0.0859,-0.0519,0.3269,0.0057396101269841255
Profit_Margin,0.21104395604395604,0.167,-0.096,0.915,0.030438198046398055
Debt_to_Equity,0.8482593406593407,0.7647,0.0,4.2318,0.43698861021733826
R_and_D_to_Revenue,0.006926373626373626,0.0,0.0,0.1251,0.0003936681855921858
Capex_to_Revenue,0.38000879120879116,0.3557,0.0444,0.7376,0.027133433255189257
